iter	Passed	Remaining
0	43	21488
1	87	21720
2	134	22246
3	177	21975
4	222	22027
5	262	21602
6	307	21656
7	349	21495
8	390	21309
9	431	21124
10	472	21004
11	512	20857
12	554	20760
13	597	20726
14	637	20623
15	678	20511
16	719	20436
17	759	20333
18	799	20244
19	841	20184
20	879	20057
21	935	20330
22	997	20683
23	1045	20743
24	1085	20628
25	1124	20509
26	1165	20417
27	1204	20301
28	1242	20177
29	1286	20160
30	1334	20192
31	1414	20692
32	1464	20722
33	1503	20601
34	1546	20540
35	1584	20424
36	1624	20327
37	1691	20569
38	1743	20605
39	1789	20580
40	1832	20513
41	1872	20418
42	1912	20330
43	1955	20263
44	1998	20205
45	2080	20537
46	2133	20560
47	2172	20455
48	2219	20425
49	2260	20344
50	2304	20292
51	2343	20188
52	2379	20065
53	2419	19987
54	2456	19878
55	2495	19784
56	2537	19723
57	2577	19645
58	2621	19591
59	2661	19515
60	2695	19401
61	2733	19309
62	2774	19244
63	2812	19161
64	2852	19087
65	2893	19025
66	2931	18946
67	2970	18874
68	3009	18800
69	3063	18819
70	3119	18847
71	3172	18859
72	3216	18815
73	3257	18749
74	3297	18684
75	3338	18627
76	3378	18559
77	3416	18482
78	3456	18418
79	3518	18471
80	3557	18402
81	3602	18363
82	3658	18381
83	3717	18411
84	3766	18389
85	3809	18338
86	3859	18320
87	3905	18285
88	3967	18324
89	4034	18377
90	4077	18326
91	4119	18271
92	4162	18215
93	4207	18174
94	4267	18193
95	4333	18237
96	4374	18174
97	4416	18116
98	4455	18046
99	4500	18003
100	4555	17997
101	4602	17960
102	4641	17888
103	4678	17813
104	4726	17781
105	4784	17784
106	4845	17798
107	4942	17939
108	5024	18022
109	5068	17968
110	5133	17991
111	5190	17981
112	5231	17917
113	5272	17851
114	5313	17787
115	5352	17718
116	5405	17696
117	5468	17702
118	5514	17657
119	5558	17600
120	5594	17521
121	5635	17459
122	5677	17402
123	5729	17373
124	5780	17342
125	5821	17279
126	5860	17212
127	5899	17146
128	5941	17087
129	6010	17106
130	6060	17072
131	6111	17037
132	6152	16978
133	6194	16920
134	6235	16858
135	6281	16812
136	6332	16778
137	6390	16762
138	6431	16703
139	6471	16641
140	6512	16581
141	6553	16521
142	6592	16457
143	6632	16396
144	6672	16335
145	6711	16273
146	6750	16210
147	6793	16156
148	6832	16095
149	6874	16039
150	6921	15997
151	6972	15963
152	7017	15916
153	7061	15864
