iter	Passed	Remaining
0	5	4217
1	10	4090
2	15	4045
3	20	4031
4	25	4027
5	30	4051
6	35	4071
7	41	4070
8	46	4070
9	51	4071
10	56	4063
11	61	4058
12	66	4046
13	71	4039
14	77	4033
15	82	4029
16	87	4025
17	92	4028
18	98	4032
19	103	4035
20	108	4040
21	114	4059
22	120	4056
23	125	4053
24	130	4055
25	136	4053
26	141	4052
27	146	4050
28	152	4049
29	157	4046
30	163	4044
31	168	4040
32	173	4035
33	178	4031
34	184	4032
35	190	4035
36	195	4037
37	201	4038
38	206	4039
39	212	4038
40	218	4037
41	223	4038
42	229	4036
43	234	4034
44	240	4031
45	245	4029
46	251	4026
47	256	4024
48	262	4021
49	267	4018
50	273	4015
51	278	4011
52	284	4008
53	289	4005
54	295	4001
55	300	3997
56	306	3995
57	312	3993
58	317	3989
59	323	3986
60	328	3983
61	334	3979
62	340	3978
63	345	3977
64	351	3976
65	357	3974
66	363	3972
67	368	3971
68	374	3970
69	380	3967
70	386	3965
71	391	3963
72	397	3960
73	403	3959
74	409	3959
75	415	3957
76	421	3955
77	427	3953
78	432	3951
79	438	3948
80	444	3948
81	450	3945
82	456	3942
83	462	3939
84	467	3936
85	473	3933
86	479	3928
87	485	3926
88	491	3923
89	496	3918
90	502	3914
91	508	3910
92	513	3906
93	519	3902
94	525	3899
95	531	3895
96	536	3891
97	542	3886
98	548	3882
99	554	3878
100	559	3875
101	565	3871
102	571	3867
103	577	3863
104	582	3858
105	588	3854
106	594	3850
107	600	3845
108	605	3841
109	611	3836
110	617	3833
111	623	3828
112	629	3824
113	634	3820
114	640	3815
115	646	3811
116	652	3807
117	657	3802
118	663	3798
119	669	3794
120	675	3789
121	681	3786
122	687	3781
123	692	3776
124	698	3772
125	704	3767
126	710	3762
127	715	3757
128	721	3752
129	727	3747
130	732	3742
131	738	3737
132	744	3733
133	750	3728
134	755	3723
135	761	3718
136	767	3713
137	773	3708
138	778	3704
139	784	3699
140	790	3695
141	796	3690
142	802	3685
143	807	3680
144	813	3676
145	820	3674
146	826	3671
147	832	3668
148	838	3664
149	844	3660
150	850	3656
151	856	3652
152	862	3648
153	868	3644
154	874	3640
155	880	3636
156	886	3632
157	893	3629
158	899	3625
159	905	3621
160	911	3617
161	917	3611
162	922	3606
163	928	3601
164	934	3596
165	940	3591
166	945	3585
167	951	3580
168	957	3575
169	963	3571
170	969	3567
171	975	3562
172	981	3557
173	987	3551
174	993	3546
175	998	3540
176	1004	3535
177	1010	3530
178	1015	3524
179	1021	3519
180	1027	3514
181	1033	3508
182	1039	3503
183	1044	3497
184	1050	3492
185	1056	3487
186	1062	3482
187	1068	3478
188	1074	3474
189	1080	3469
190	1086	3465
191	1092	3461
192	1098	3456
193	1105	3453
194	1111	3448
195	1117	3444
196	1124	3440
197	1129	3435
198	1136	3431
199	1142	3426
200	1147	3420
201	1153	3415
202	1159	3410
203	1165	3404
204	1171	3400
205	1177	3395
206	1183	3390
207	1189	3385
208	1195	3380
209	1201	3375
210	1207	3369
211	1212	3364
212	1219	3359
213	1224	3354
214	1230	3348
215	1236	3343
216	1242	3337
217	1248	3332
218	1253	3326
219	1259	3321
220	1265	3316
221	1272	3311
222	1278	3307
223	1284	3302
224	1290	3298
225	1296	3292
226	1302	3288
227	1308	3283
228	1315	3279
229	1321	3274
230	1327	3269
231	1333	3265
232	1339	3260
233	1345	3254
234	1352	3251
235	1358	3245
236	1363	3240
237	1370	3235
238	1376	3229
239	1382	3224
240	1387	3219
241	1393	3213
242	1399	3208
243	1405	3202
244	1411	3196
245	1417	3192
246	1423	3186
247	1429	3180
248	1434	3175
249	1440	3169
250	1447	3164
251	1453	3159
252	1459	3154
253	1465	3149
254	1471	3144
255	1477	3139
256	1483	3134
257	1489	3129
258	1495	3124
259	1501	3119
260	1507	3113
261	1513	3108
262	1519	3103
263	1526	3098
264	1532	3094
265	1538	3088
266	1544	3083
267	1550	3078
268	1556	3072
269	1562	3067
270	1568	3062
271	1574	3056
272	1581	3052
273	1587	3046
274	1593	3041
275	1598	3035
276	1604	3029
277	1610	3024
278	1616	3018
279	1622	3012
280	1628	3007
281	1634	3002
282	1640	2996
283	1646	2992
284	1652	2986
285	1659	2981
286	1665	2976
287	1671	2971
288	1677	2965
289	1683	2960
290	1689	2955
291	1695	2949
292	1701	2944
293	1707	2939
294	1713	2933
295	1719	2928
296	1725	2922
297	1731	2916
298	1737	2910
299	1742	2904
300	1748	2898
301	1754	2893
302	1760	2887
303	1766	2881
304	1771	2875
305	1777	2869
306	1783	2864
307	1789	2858
308	1795	2853
309	1801	2847
310	1807	2842
311	1813	2836
312	1819	2830
313	1825	2825
314	1831	2819
315	1838	2815
316	1844	2810
317	1851	2805
318	1857	2801
319	1863	2795
320	1870	2790
321	1876	2785
322	1882	2779
323	1888	2774
324	1894	2768
325	1900	2763
326	1906	2758
327	1912	2752
328	1918	2746
329	1924	2740
330	1930	2734
331	1935	2728
332	1941	2723
333	1947	2717
334	1953	2711
335	1959	2705
336	1964	2699
337	1970	2693
338	1976	2687
339	1982	2681
340	1988	2676
341	1993	2670
342	1999	2664
343	2005	2658
344	2011	2652
345	2017	2647
346	2023	2641
347	2029	2636
348	2035	2630
349	2041	2625
350	2048	2620
351	2054	2615
352	2060	2609
353	2067	2604
354	2073	2598
355	2079	2593
356	2085	2587
357	2091	2581
358	2096	2575
359	2102	2569
360	2108	2564
361	2114	2558
362	2120	2552
363	2125	2546
364	2131	2540
365	2137	2534
366	2143	2528
367	2149	2523
368	2155	2517
369	2161	2511
370	2166	2505
371	2173	2500
372	2179	2495
373	2185	2489
374	2191	2484
375	2198	2478
376	2204	2473
377	2210	2467
378	2216	2462
379	2222	2456
380	2229	2451
381	2235	2445
382	2241	2440
383	2247	2434
384	2253	2428
385	2259	2423
386	2265	2417
387	2271	2411
388	2276	2405
389	2282	2399
390	2288	2393
391	2294	2388
392	2300	2382
393	2306	2376
394	2312	2370
395	2318	2364
396	2323	2359
397	2329	2353
398	2335	2347
399	2341	2341
400	2347	2335
401	2353	2329
402	2359	2324
403	2365	2318
404	2371	2313
405	2377	2307
406	2384	2302
407	2391	2297
408	2397	2292
409	2403	2286
410	2409	2280
411	2415	2274
412	2421	2269
413	2427	2263
414	2434	2258
415	2440	2252
416	2446	2246
417	2452	2240
418	2458	2235
419	2463	2229
420	2469	2223
421	2475	2217
422	2481	2211
423	2487	2206
424	2494	2200
425	2500	2194
426	2506	2189
427	2512	2184
428	2519	2178
429	2525	2172
430	2531	2167
431	2537	2161
432	2543	2155
433	2549	2149
434	2554	2143
435	2560	2137
436	2566	2131
437	2572	2125
438	2577	2119
439	2583	2113
440	2589	2107
441	2595	2102
442	2600	2096
443	2606	2090
444	2612	2084
445	2618	2078
446	2625	2073
447	2631	2067
448	2637	2061
449	2643	2056
450	2649	2050
451	2656	2044
452	2662	2039
453	2668	2033
454	2674	2028
455	2680	2022
456	2686	2016
457	2692	2010
458	2698	2005
459	2704	1999
460	2710	1993
461	2716	1987
462	2722	1981
463	2727	1975
464	2733	1969
465	2739	1963
466	2745	1957
467	2751	1951
468	2756	1945
469	2762	1939
470	2768	1933
471	2774	1927
472	2779	1921
473	2785	1915
474	2791	1910
475	2797	1904
476	2803	1898
477	2809	1892
478	2816	1887
479	2822	1881
480	2828	1875
481	2834	1869
482	2840	1864
483	2846	1858
484	2852	1852
485	2858	1847
486	2864	1841
487	2871	1835
488	2876	1829
489	2883	1823
490	2889	1818
491	2895	1812
492	2900	1806
493	2906	1800
494	2912	1794
495	2918	1788
496	2923	1782
497	2929	1776
498	2935	1770
499	2941	1764
500	2947	1759
501	2953	1753
502	2958	1747
503	2964	1741
504	2970	1735
505	2976	1729
506	2982	1723
507	2987	1717
508	2993	1711
509	2999	1705
510	3005	1699
511	3010	1693
512	3016	1687
513	3022	1681
514	3028	1676
515	3034	1670
516	3040	1664
517	3046	1658
518	3052	1652
519	3059	1647
520	3064	1641
521	3071	1635
522	3077	1629
523	3083	1624
524	3090	1618
525	3096	1612
526	3102	1607
527	3108	1601
528	3114	1595
529	3119	1589
530	3125	1583
531	3131	1577
532	3137	1571
533	3143	1566
534	3149	1560
535	3156	1554
536	3162	1548
537	3167	1542
538	3174	1537
539	3180	1531
540	3186	1525
541	3191	1519
542	3197	1513
543	3203	1507
544	3209	1501
545	3215	1495
546	3221	1490
547	3227	1484
548	3233	1478
549	3239	1472
550	3245	1466
551	3252	1461
552	3258	1455
553	3264	1449
554	3270	1443
555	3276	1438
556	3282	1432
557	3289	1426
558	3294	1420
559	3300	1414
560	3306	1408
561	3312	1402
562	3318	1396
563	3324	1390
564	3329	1385
565	3335	1379
566	3341	1373
567	3347	1367
568	3353	1361
569	3359	1355
570	3365	1349
571	3371	1343
572	3377	1337
573	3383	1332
574	3389	1326
575	3395	1320
576	3401	1314
577	3407	1308
578	3413	1302
579	3420	1297
580	3426	1291
581	3432	1285
582	3438	1279
583	3444	1273
584	3450	1268
585	3456	1262
586	3462	1256
587	3468	1250
